DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
2/2/2026,2022,20231287,42749,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,ALABAMA,12.038,0,10.773,0,22.811,4.728,0,10.47,0,15.198,54.098,1.328,22.923,0,78.349,54.352,1.203,0.118,0,55.673,17.533,0,8.475,0,26.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.971,0,1.463,42.434,0,0,0,0,0,142.749,43.502,52.759,1.463,240.473,0,0,0,0,0,0,142.749,43.502,52.759,1.463,240.473
2/2/2026,2022,20231287,42749,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,6.65,0,0.09,0,6.74,11.933,15.626,0.258,0,27.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.583,15.626,0.348,0,34.557,0,0,0,0,0,0,18.583,15.626,0.348,0,34.557
2/2/2026,2022,20231287,42749,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0,4.45,5.153,0.123,0.157,9.883,12.484,0,0,0,12.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.934,5.153,0.123,0.157,22.367,0,0,0,0,0,0,16.934,5.153,0.123,0.157,22.367
2/2/2026,2022,20230623,46878,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,0.233,0.218,2.609,0,3.06,24.745,2.881,29.919,0,57.545,5.998,1.224,16.332,0,23.554,58.444,35.108,69.541,0,163.093,110.793,7.288,7.066,0,125.147,14.211,0.023,0.056,0,14.29,0.001,0.01,0,0,0.011,0.01,0.001,0,0,0.011,0.177,0.126,0.579,0,0.882,0,0,0,0,0,214.612,46.879,126.102,0,387.593,0,0,0,0,0,0,214.612,46.879,126.102,0,387.593
2/2/2026,2022,20230211,41601,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0.11
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,0.04,1.16,10.49,0,11.69,13.58,9.83,25.77,0,49.18,10.81,5.52,42.01,0,58.34,62.94,44.34,80.95,0,188.23,35.49,24.46,19.51,0,79.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.12,0,0,0,0,0,122.98,85.31,178.73,0,387.02,0,0,0,0,0,0,122.98,85.31,178.73,0,387.02
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,0.25,0.26,1.47,2.24,4.22,11.19,8.74,24.34,7.04,51.31,34.87,17.64,61.81,3.31,117.63,57.13,45.97,111.22,0.11,214.43,41.73,7.88,13.42,0,63.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.11,0.13,0,0,0,0,0,145.17,80.49,212.28,12.81,450.75,0.95,5.04,0,0,0,5.99,151.16,80.49,212.28,12.81,456.74
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,0,0,0,0,0,0,0,0,0,0,1.11,0.78,8.98,0,10.87,24.02,5.37,48.59,0,77.98,17.82,3.37,22.3,0,43.49,2.7,0.78,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0.05,0,0,0,0,0,45.68,10.3,79.89,0,135.87,0,0,0,0,0,0,45.68,10.3,79.89,0,135.87
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,0,0,0.37,0,0.37,0.76,0.26,0.2,0,1.22,3.14,0.94,2.31,0,6.39,15.2,6.33,46.17,0,67.7,3.74,2.01,6.01,0,11.76,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,22.85,9.54,55.07,0,87.46,0,0,0,0,0,0,22.85,9.54,55.07,0,87.46
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,OCS-Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,3.58,3.58,0,0,0,3.58
