DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTRONHCA,PARTLTRON192MILES,PARTLTRONCLASS34,PARTLTRONCLASS12,PARTLTOFFC1,PARTLTOFFTOT,PARTLTROFFHCA,PARTLTROFF192MILES,PARTLTROFFCLASS34,PARTLTROFFCLASS12,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLTRHCATOTAL,PARTLTR192MILESTOTAL,PARTLTRCLASS34TOTAL,PARTLTRCLASS12TOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGONCC1,PARTLGONCTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,765.076,164.598,46.618,0,976.292,77.757,135.895,0.142,762.5,0,0,,,,,765.076,164.598,46.618,0,976.292,77.757,135.895,0.142,762.5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,765.076,164.598,46.618,0,976.292
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,581.382,13.147,7.031,0,601.56,5.671,12.734,1.461,581.694,0,0,,,,,581.382,13.147,7.031,0,601.56,5.671,12.734,1.461,581.694,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,581.382,13.147,7.031,0,601.56
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,827.655,4.447,0,0,832.102,0.959,7.142,0,824.001,0,0,,,,,827.655,4.447,0,0,832.102,0.959,7.142,0,824.001,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,827.655,4.447,0,0,832.102
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,265.259,12.864,0,0,278.123,1.775,30.46,,245.888,0,0,,,,,265.259,12.864,0,0,278.123,1.775,30.46,,245.888,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,265.259,12.864,0,0,278.123
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,858.476,81.427,12.508,0,952.411,13.393,89.06,0,849.96,0,0,,,,,858.476,81.427,12.508,0,952.411,13.393,89.06,0,849.96,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,858.476,81.427,12.508,0,952.411
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,975.553,260.354,75.115,0,1311.022,90.07,161.486,2.44,1057.024,0,0,,,,,975.553,260.354,75.115,0,1311.022,90.07,161.486,2.44,1057.024,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,975.553,260.354,75.115,0,1311.022
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,315.181,46.854,10.926,0,372.961,19.282,51.026,0,302.653,0,0,,,,,315.181,46.854,10.926,0,372.961,19.282,51.026,0,302.653,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,315.181,46.854,10.926,0,372.961
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,268.1,2.009,2.098,0,272.207,2.625,3.453,0.15,265.977,0,0,,,,,268.1,2.009,2.098,0,272.207,2.625,3.453,0.15,265.977,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,268.1,2.009,2.098,0,272.207
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,8.642,0,0,0,8.642,0,0,0,8.642,0,0,,,,,8.642,0,0,0,8.642,0,0,0,8.642,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,8.642,0,0,0,8.642
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OHIO,262.891,31.279,22.135,0,316.305,23.716,27.775,0.195,264.621,0,0,,,,,262.891,31.279,22.135,0,316.305,23.716,27.775,0.195,264.621,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,262.891,31.279,22.135,0,316.305
